State,Origin Count,STATE,Airport Count
CA,755337,CA,26
TX,557534,TX,25
FL,452773,FL,17
GA,377288,GA,8
IL,362781,IL,8
CO,244856,CO,11
NY,244368,NY,13
AZ,172628,AZ,4
NV,168151,NV,3
NC,162891,NC,8
MI,157382,MI,14
WA,153388,WA,5
VA,143040,VA,9
MN,142632,MN,8
MA,127175,MA,5
NJ,121631,NJ,3
UT,115337,UT,5
PA,110109,PA,6
MO,105585,MO,5
HI,104697,HI,5
MD,101015,MD,1
TN,81934,TN,5
OR,74109,OR,6
OH,71211,OH,5
LA,66302,LA,7
WI,50878,WI,8
IN,40048,IN,4
AK,36395,AK,19
KY,34653,KY,4
SC,30447,SC,5
OK,29440,OK,3
PR,26897,PR,3
NE,22870,NE,3
ID,22513,ID,6
AL,22285,AL,5
CT,22211,CT,1
NM,21609,NM,4
MT,17430,MT,8
IA,13961,IA,5
AR,13871,AR,4
RI,13755,RI,1
ND,10961,ND,8
KS,9876,KS,5
MS,9569,MS,6
SD,8332,SD,4
WY,7549,WY,7
ME,6790,ME,2
NH,6180,NH,1
VI,5254,VI,2
VT,3274,VT,1
WV,2011,WV,3
GU,365,GU,1
AS,119,AS,1
