ORIGIN,DEST,Flight Count,ORIGIN_STATE,DEST_STATE
ABE,ATL,916,PA,GA
ABE,DTW,820,PA,MI
ABE,ORD,402,PA,IL
ABI,DFW,41,TX,TX
ABI,GRK,1,TX,TX
ABQ,ATL,865,NM,GA
ABQ,AUS,86,NM,TX
ABQ,BWI,537,NM,MD
ABQ,DAL,1683,NM,TX
ABQ,DEN,1954,NM,CO
ABQ,DFW,1688,NM,TX
ABQ,HOU,1042,NM,TX
ABQ,IAH,866,NM,TX
ABQ,JFK,313,NM,NY
ABQ,LAS,1348,NM,NV
ABQ,LAX,1101,NM,CA
ABQ,MCI,349,NM,MO
ABQ,MCO,78,NM,FL
ABQ,MDW,680,NM,IL
ABQ,MSP,211,NM,MN
ABQ,OAK,912,NM,CA
ABQ,ORD,303,NM,IL
ABQ,PDX,110,NM,OR
ABQ,PHX,2509,NM,AZ
ABQ,SAN,705,NM,CA
ABQ,SEA,364,NM,WA
ABQ,SFO,493,NM,CA
ABQ,SLC,863,NM,UT
ABR,MSP,728,SD,MN
ABY,ATL,621,GA,GA
ACK,BOS,174,MA,MA
ACK,DCA,59,MA,VA
ACK,JFK,432,MA,NY
ACT,DFW,339,TX,TX
ACV,SFO,1202,CA,CA
ACY,ATL,178,NJ,GA
ACY,BOS,133,NJ,MA
ACY,FLL,873,NJ,FL
ACY,MCO,863,NJ,FL
ACY,MYR,365,NJ,SC
ACY,PBI,169,NJ,FL
ACY,RSW,526,NJ,FL
ACY,TPA,404,NJ,FL
ADK,ANC,104,AK,AK
ADQ,ANC,621,AK,AK
AEX,ATL,498,LA,GA
AEX,DFW,426,LA,TX
AEX,IAH,924,LA,TX
AGS,ATL,2129,GA,GA
AGS,LGA,1,GA,NY
AGS,ORD,3,GA,IL
AKN,ANC,63,AK,AK
ALB,ATL,1031,NY,GA
ALB,BTV,1,NY,VT
ALB,BWI,1921,NY,MD
ALB,CLT,1035,NY,NC
ALB,DEN,239,NY,CO
ALB,DTW,844,NY,MI
ALB,EWR,75,NY,NJ
ALB,FLL,635,NY,FL
ALB,LAS,114,NY,NV
ALB,MCO,1084,NY,FL
ALB,MDW,726,NY,IL
ALB,MSP,222,NY,MN
ALB,ORD,982,NY,IL
ALB,RSW,49,NY,FL
ALB,TPA,445,NY,FL
ALO,ORD,473,IA,IL
AMA,DAL,1384,TX,TX
AMA,DEN,34,TX,CO
AMA,DFW,232,TX,TX
AMA,IAH,1018,TX,TX
AMA,LAS,375,TX,NV
ANC,ADK,104,AK,AK
ANC,ADQ,621,AK,AK
ANC,AKN,63,AK,AK
ANC,ATL,113,AK,GA
ANC,BET,960,AK,AK
ANC,BRW,174,AK,AK
ANC,CDV,362,AK,AK
ANC,DEN,438,AK,CO
ANC,DFW,125,AK,TX
ANC,DLG,84,AK,AK
ANC,EWR,13,AK,NJ
ANC,FAI,830,AK,AK
ANC,HNL,332,AK,HI
ANC,IAH,68,AK,TX
ANC,JNU,1324,AK,AK
ANC,KOA,45,AK,HI
ANC,LAS,78,AK,NV
ANC,LAX,513,AK,CA
ANC,MSP,566,AK,MN
ANC,OGG,72,AK,HI
ANC,OME,412,AK,AK
ANC,ORD,621,AK,IL
ANC,OTZ,669,AK,AK
ANC,PDX,986,AK,OR
ANC,PHX,171,AK,AZ
ANC,SCC,727,AK,AK
ANC,SEA,6630,AK,WA
ANC,SFO,115,AK,CA
ANC,SLC,31,AK,UT
APN,DTW,369,MI,MI
APN,PLN,254,MI,MI
ASE,ATL,96,CO,GA
ASE,DEN,2238,CO,CO
ASE,DFW,353,CO,TX
ASE,IAH,391,CO,TX
ASE,LAX,897,CO,CA
ASE,MSP,13,CO,MN
ASE,ORD,765,CO,IL
ASE,PHX,15,CO,AZ
ASE,SFO,261,CO,CA
ASE,SLC,209,CO,UT
ATL,ABE,916,GA,PA
ATL,ABQ,865,GA,NM
ATL,ABY,620,GA,GA
ATL,ACY,178,GA,NJ
ATL,AEX,497,GA,LA
ATL,AGS,2129,GA,GA
ATL,ALB,1031,GA,NY
ATL,ANC,113,GA,AK
ATL,ASE,96,GA,CO
ATL,ATW,560,GA,WI
ATL,AUS,3556,GA,TX
ATL,AVL,2126,GA,NC
ATL,AVP,352,GA,PA
ATL,BDL,2265,GA,CT
ATL,BHM,3256,GA,AL
ATL,BMI,938,GA,IL
ATL,BNA,3504,GA,TN
ATL,BOS,6588,GA,MA
ATL,BQK,691,GA,GA
ATL,BTR,2665,GA,LA
ATL,BTV,396,GA,VT
ATL,BUF,1664,GA,NY
ATL,BWI,6555,GA,MD
ATL,BZN,85,GA,MT
ATL,CAE,2664,GA,SC
ATL,CAK,1691,GA,OH
ATL,CHA,2339,GA,TN
ATL,CHO,1005,GA,VA
ATL,CHS,3472,GA,SC
ATL,CID,759,GA,IA
ATL,CLE,3344,GA,OH
ATL,CLT,5711,GA,NC
ATL,CMH,3794,GA,OH
ATL,COS,339,GA,CO
ATL,CRW,1232,GA,WV
ATL,CSG,830,GA,GA
ATL,CVG,2693,GA,KY
ATL,DAB,1639,GA,FL
ATL,DAL,3440,GA,TX
ATL,DAY,1369,GA,OH
ATL,DCA,5495,GA,VA
ATL,DEN,5790,GA,CO
ATL,DFW,6705,GA,TX
ATL,DHN,1261,GA,AL
ATL,DSM,980,GA,IA
ATL,DTW,5609,GA,MI
ATL,ECP,2032,GA,
ATL,EGE,98,GA,CO
ATL,ELM,11,GA,NY
ATL,ELP,869,GA,TX
ATL,EVV,649,GA,IN
ATL,EWN,445,GA,NC
ATL,EWR,5899,GA,NJ
ATL,EYW,1584,GA,FL
ATL,FAR,10,GA,ND
ATL,FAY,1287,GA,NC
ATL,FCA,14,GA,MT
ATL,FLL,7928,GA,FL
ATL,FNT,1015,GA,MI
ATL,FSD,291,GA,SD
ATL,FSM,668,GA,AR
ATL,FWA,1392,GA,IN
ATL,GNV,1474,GA,FL
ATL,GPT,1370,GA,MS
ATL,GRB,480,GA,WI
ATL,GRK,558,GA,TX
ATL,GRR,1648,GA,MI
ATL,GSO,2680,GA,NC
ATL,GSP,3691,GA,SC
ATL,GTR,956,GA,MS
ATL,HDN,90,GA,CO
ATL,HNL,365,GA,HI
ATL,HOU,4081,GA,TX
ATL,HPN,1943,GA,NY
ATL,HSV,2515,GA,AL
ATL,IAD,3485,GA,VA
ATL,IAH,3384,GA,TX
ATL,ICT,1048,GA,KS
ATL,ILM,1210,GA,NC
ATL,IND,4043,GA,IN
ATL,JAC,93,GA,WY
ATL,JAN,2318,GA,MS
ATL,JAX,5480,GA,FL
ATL,JFK,2451,GA,NY
ATL,LAS,4676,GA,NV
ATL,LAX,6564,GA,CA
ATL,LEX,2202,GA,KY
ATL,LFT,1217,GA,LA
ATL,LGA,8512,GA,NY
ATL,LIT,2140,GA,AR
ATL,LNK,292,GA,NE
ATL,MCI,3838,GA,MO
ATL,MCO,9072,GA,FL
ATL,MDT,1011,GA,PA
ATL,MDW,4616,GA,IL
ATL,MEM,3437,GA,TN
ATL,MGM,1511,GA,AL
ATL,MHT,364,GA,NH
ATL,MIA,5635,GA,FL
ATL,MKE,3371,GA,WI
ATL,MLB,1497,GA,FL
ATL,MLI,924,GA,IL
ATL,MLU,1168,GA,LA
ATL,MOB,1793,GA,AL
ATL,MSN,1143,GA,WI
ATL,MSO,10,GA,MT
ATL,MSP,5075,GA,MN
ATL,MSY,5470,GA,LA
ATL,MTJ,35,GA,CO
ATL,MYR,1387,GA,SC
ATL,OAJ,826,GA,NC
ATL,OAK,450,GA,CA
ATL,OKC,1867,GA,OK
ATL,OMA,1739,GA,NE
ATL,ORD,7183,GA,IL
ATL,ORF,2884,GA,VA
ATL,PBI,4539,GA,FL
ATL,PDX,1330,GA,OR
ATL,PHF,1009,GA,VA
ATL,PHL,6698,GA,PA
ATL,PHX,3589,GA,AZ
ATL,PIA,531,GA,IL
ATL,PIT,3505,GA,PA
ATL,PNS,2506,GA,FL
ATL,PVD,1040,GA,RI
ATL,PWM,688,GA,ME
ATL,RAP,14,GA,SD
ATL,RDU,5078,GA,NC
ATL,RIC,4009,GA,VA
ATL,RNO,24,GA,NV
ATL,ROA,1301,GA,VA
ATL,ROC,1057,GA,NY
ATL,RST,502,GA,MN
ATL,RSW,3929,GA,FL
ATL,SAN,2326,GA,CA
ATL,SAT,3321,GA,TX
ATL,SAV,3496,GA,GA
ATL,SBN,1366,GA,IN
ATL,SDF,2810,GA,KY
ATL,SEA,3128,GA,WA
ATL,SFO,3242,GA,CA
ATL,SGF,1370,GA,MO
ATL,SHV,2001,GA,LA
ATL,SJC,829,GA,CA
ATL,SJU,1380,GA,PR
ATL,SLC,2973,GA,UT
ATL,SMF,784,GA,CA
ATL,SNA,1038,GA,CA
ATL,SRQ,2067,GA,FL
ATL,STL,4150,GA,MO
ATL,STT,652,GA,VI
ATL,STX,84,GA,VI
ATL,SYR,1051,GA,NY
ATL,TLH,2079,GA,FL
ATL,TPA,7267,GA,FL
ATL,TRI,1663,GA,TN
ATL,TTN,261,GA,NJ
ATL,TUL,1579,GA,OK
ATL,TUS,681,GA,AZ
ATL,TVC,10,GA,MI
ATL,TYS,1921,GA,TN
ATL,VLD,665,GA,GA
ATL,VPS,2241,GA,FL
ATL,XNA,1600,GA,AR
ATW,ATL,498,WI,GA
ATW,DTW,808,WI,MI
ATW,MSP,793,WI,MN
ATW,ORD,600,WI,IL
AUS,ABQ,86,TX,NM
AUS,ATL,3555,TX,GA
AUS,BNA,849,TX,TN
AUS,BOS,815,TX,MA
AUS,BWI,704,TX,MD
AUS,CLT,1409,TX,NC
AUS,DAL,3394,TX,TX
AUS,DCA,365,TX,VA
AUS,DEN,3058,TX,CO
AUS,DFW,3861,TX,TX
AUS,DTW,826,TX,MI
AUS,ECP,10,TX,
