Hour,Average Departure Delay
0,6.63585893634471
1,6.077145961608113
2,18.085603112840467
3,18.832417582417584
4,14.311850311850312
5,1.5814102564102563
6,1.7600553949903661
7,2.745458377239199
8,4.388494399583225
9,5.701833057508687
10,6.694622628037176
11,8.110172394771833
12,9.274431869545058
13,10.24815110338339
14,11.75185550188216
15,12.565814169032034
16,13.500338696020322
17,15.094923175570717
18,16.286660152734566
19,16.5023132977943
20,15.798018161231544
21,14.80162688695422
22,12.15652855323734
23,11.470960001713907
