State,Origin Count,STATE,Airport Count
CA,707132,CA,26
TX,687946,TX,25
FL,444539,FL,17
IL,418291,IL,8
GA,394340,GA,8
NY,267635,NY,13
CO,234735,CO,11
AZ,180036,AZ,4
NC,160894,NC,8
NV,160608,NV,3
VA,151527,VA,9
MI,149095,MI,14
WA,134974,WA,5
MN,129945,MN,8
MA,119555,MA,5
NJ,118321,NJ,3
UT,108991,UT,5
PA,106722,PA,6
MO,102419,MO,5
HI,99135,HI,5
MD,94101,MD,1
TN,82645,TN,5
OH,81258,OH,5
LA,71253,LA,7
OR,60977,OR,6
WI,56066,WI,8
IN,42805,IN,4
KY,40291,KY,4
AK,35984,AK,19
OK,34529,OK,3
SC,31120,SC,5
AL,28882,AL,5
PR,28774,PR,3
AR,24911,AR,4
NM,24295,NM,4
NE,21869,NE,3
CT,20513,CT,1
IA,18825,IA,5
ID,18535,ID,6
ND,18110,ND,8
MT,16134,MT,8
MS,14292,MS,6
RI,12156,RI,1
KS,11930,KS,5
SD,10019,SD,4
WY,8743,WY,7
NH,6869,NH,1
VI,5592,VI,2
ME,5551,ME,2
VT,3326,VT,1
WV,2609,WV,3
GU,365,GU,1
AS,116,AS,1
DE,100,DE,1
