ORIGIN_STATE,Flight Count
AK,35984
AL,28882
AR,24911
AS,116
AZ,180036
CA,707132
CO,234735
CT,20513
DE,100
FL,444539
GA,394340
GU,365
HI,99135
IA,18825
ID,18535
IL,418291
IN,42805
KS,11930
KY,40291
LA,71253
MA,119555
MD,94101
ME,5551
MI,149095
MN,129945
MO,102419
MS,14292
MT,16134
NC,160894
ND,18110
NE,21869
NH,6869
NJ,118321
NM,24295
NV,160608
NY,267635
OH,81258
OK,34529
OR,60977
PA,106722
PR,28774
RI,12156
SC,31120
SD,10019
TN,82645
TX,687946
UT,108991
VA,151527
VI,5592
VT,3326
WA,134974
WI,56066
WV,2609
WY,8743
