OP_CARRIER,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
AA,3.7934637677965353,0.6438433904879446,2.4250685965530923,0.02225668885264689,3.9027058447569094
AS,2.0138128111939997,0.2250856417479611,1.7474858133212767,0.033764005541354385,2.210843897264681
B6,4.021958599203139,0.4335175698750786,3.7126696324256314,0.04275261376231988,5.3080195320691415
DL,3.0912521221490135,0.6883366576053139,2.0315351057963356,0.004464076741018471,2.438833585840999
EV,4.132986116574617,0.29601365089855014,2.9509822947426207,0.0,4.5962967042381075
F9,3.819520894799419,0.23796732572988682,6.398718569730063,0.0,6.980040952926153
HA,2.5752831969792322,0.14984529053912313,0.08182557163834697,0.005257499475561149,1.6611469477658904
MQ,3.5808500095033806,1.3654491026093567,3.1591069537592658,0.023924760379049118,4.809637106627929
NK,4.013622538955009,0.375603813288578,8.020369912846421,0.04384941088269622,5.973964678520008
OO,3.47360003263347,0.42546736398046753,2.267298713527423,0.016819834351146336,4.875787154990286
UA,4.293609166160905,0.6302685744091305,2.9286496820967844,0.002530428156200131,5.283402136418194
US,3.2021840324082227,0.355066300983821,3.0292781118687566,0.03101426666331178,2.632211961854918
VX,2.1115293281424163,0.5696654443241846,3.8739317965203623,0.02949776262862866,4.12757055393115
WN,3.036300525813188,0.4321962507578129,1.3228128429970163,0.009421050754642966,5.00339420931882
