State,Destination Count,STATE,Airport Count
CA,707122,CA,26
TX,688031,TX,25
FL,444531,FL,17
IL,418264,IL,8
GA,394412,GA,8
NY,267583,NY,13
CO,234674,CO,11
AZ,180046,AZ,4
NC,160888,NC,8
NV,160638,NV,3
VA,151508,VA,9
MI,148976,MI,14
WA,134982,WA,5
MN,129996,MN,8
MA,119561,MA,5
NJ,118418,NJ,3
UT,108975,UT,5
PA,106717,PA,6
MO,102405,MO,5
HI,99132,HI,5
MD,94105,MD,1
TN,82635,TN,5
OH,81234,OH,5
LA,71258,LA,7
OR,60971,OR,6
WI,56071,WI,8
IN,42808,IN,4
KY,40283,KY,4
AK,35981,AK,19
OK,34528,OK,3
SC,31117,SC,5
AL,28885,AL,5
PR,28783,PR,3
AR,24905,AR,4
NM,24287,NM,4
NE,21869,NE,3
CT,20512,CT,1
IA,18830,IA,5
ID,18541,ID,6
ND,18112,ND,8
MT,16136,MT,8
MS,14292,MS,6
RI,12157,RI,1
KS,11930,KS,5
SD,10020,SD,4
WY,8739,WY,7
NH,6871,NH,1
VI,5592,VI,2
ME,5553,ME,2
VT,3325,VT,1
WV,2610,WV,3
GU,365,GU,1
AS,116,AS,1
DE,98,DE,1
