OP_CARRIER,TAXI_IN,TAXI_OUT
AA,8.740104465112179,17.50343395997708
AS,6.370905570916005,15.03794320691394
B6,6.021408136364998,17.58694691591025
DL,7.17667011842933,17.53195011651126
EV,7.427901821227077,16.29479856707525
F9,9.086320401602888,15.572735479325377
HA,6.825138976295364,10.929567862387247
MQ,8.615418556029216,15.712173151592495
NK,9.390793923955734,14.356307346288519
OO,6.810586501641022,17.847826050007395
UA,8.395793866087027,17.19354382100469
US,7.473396572981406,18.62034068892635
VX,8.115761756296141,14.628564043745861
WN,6.085537561764228,11.792646540212623
