Hour,TAXI_IN,TAXI_OUT
0,7.470812875068194,14.949058919803601
1,8.376623376623376,13.569102539251793
2,7.791371994342291,11.895332390381895
3,6.510282776349614,12.124678663239074
4,7.092278719397363,11.725047080979284
5,7.766668643213526,13.768117169697842
6,8.10164889172851,15.240519486902246
7,8.07548731174498,16.207616760630238
8,7.350102620901069,16.82762050738293
9,7.026368585356414,16.92463354040802
10,6.999620604664679,15.811244093810206
11,7.20359468728008,15.487097999352107
12,7.180644018323393,15.282856829513149
13,7.177962581394134,15.46985631717509
14,7.3881261089122425,15.147090669214322
15,7.254116815314336,15.818019904285403
16,7.461435330522246,15.650710901892246
17,7.565772283162808,16.269900758782875
18,7.70602607811472,16.058319875590644
19,7.156396187578847,16.240102252080955
20,6.5471954115143856,16.110576181812576
21,6.234670635365157,15.198733643787973
22,6.098918767173397,15.93395207186668
23,7.0940188354613785,15.245902381599203
